Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Hornell Area Industrial Development Corporation,9/30/2024,307967.0,0.0,32421.0,0.0,340388.0,0.0,6037.0,0.0,0.0,0.0,0.0,0.0,0.0,6037.0,346425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346425.0,346425.0,524.0,0.0,0.0,524.0,0.0,0.0,4988.0,0.0,0.0,14582.0,19570.0,-19046.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,-18973.0,0.0,-18973.0,365398.0,0.0,346425.0,346425.0,OK
Hudson Development Corporation,9/30/2024,28045.0,2740850.0,0.0,0.0,2768895.0,0.0,0.0,173153.0,0.0,150384.0,0.0,0.0,150384.0,323537.0,3092432.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,173153.0,0.0,173153.0,173440.0,0.0,25095.0,2893897.0,2918992.0,0.0,4000.0,32098.0,36098.0,36997.0,0.0,28447.0,2473.0,12773.0,71050.0,151740.0,-115642.0,107145.0,0.0,0.0,0.0,0.0,0.0,107145.0,0.0,0.0,0.0,0.0,0.0,-8497.0,0.0,-8497.0,2927489.0,0.0,2918992.0,3092432.0,OK
Hudson Valley AgriBusiness Development Corp,9/30/2024,1902918.0,0.0,461948.0,9733.0,2374599.0,193520.0,441177.0,20850.0,0.0,11397.0,0.0,0.0,11397.0,666944.0,3041543.0,61127.0,0.0,0.0,14098.0,1307895.0,0.0,166667.0,1549787.0,0.0,0.0,0.0,0.0,500000.0,500000.0,2049787.0,0.0,305000.0,686756.0,991756.0,1145794.0,38004.0,25600.0,1209398.0,344249.0,33868.0,184214.0,13842.0,14072.0,190611.0,780856.0,428542.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,6041.0,0.0,0.0,0.0,6041.0,422520.0,0.0,422520.0,593110.0,-23874.0,991756.0,3041543.0,OK
Jamestown Local Development Corporation,9/30/2024,3620564.7,0.0,1177502.2,0.0,4798066.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4798066.9,198363.0,0.0,0.0,0.0,1889622.0,0.0,0.0,2087985.0,0.0,0.0,0.0,0.0,0.0,0.0,2087985.0,0.0,0.0,2710081.9,2710081.9,0.0,0.0,5409248.7,5409248.7,0.0,0.0,5630.0,0.0,0.0,5108275.2,5113905.2,295343.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295343.5,0.0,295343.5,0.0,2414738.4,2710081.9,4798066.9,OK
Jefferson County Civic Facility Development Corporation,9/30/2024,17986.0,0.0,3250.0,0.0,21236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21236.0,21236.0,8750.0,0.0,0.0,8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.0,0.0,8750.0,12486.0,0.0,21236.0,21236.0,OK
Jefferson County Local Development Corporation,9/30/2024,4856237.0,2713.0,202287.0,151711.0,5212948.0,0.0,0.0,0.0,0.0,163928.0,0.0,93827.0,70101.0,70101.0,5283049.0,9723.0,0.0,0.0,41431.0,0.0,10398.0,2043400.0,2104952.0,0.0,0.0,0.0,0.0,191680.0,191680.0,2296632.0,0.0,0.0,2986417.0,2986417.0,412577.0,8943.0,0.0,421520.0,817464.0,0.0,139912.0,0.0,15139.0,192050.0,1164565.0,-743045.0,0.0,0.0,848636.0,425550.0,0.0,8533.0,1282719.0,0.0,0.0,1248636.0,0.0,1248636.0,-708962.0,0.0,-708962.0,3695379.0,0.0,2986417.0,5283049.0,OK
"Kingston City Land Bank, Inc.",9/30/2024,1152089.0,0.0,115088.0,508539.0,1775716.0,0.0,0.0,0.0,590019.0,617717.0,0.0,0.0,1207736.0,1207736.0,2983452.0,28665.0,0.0,0.0,0.0,0.0,0.0,0.0,28665.0,0.0,0.0,0.0,0.0,0.0,0.0,28665.0,0.0,462708.0,2492079.0,2954787.0,0.0,0.0,232640.0,232640.0,205951.0,0.0,192578.0,0.0,0.0,268212.0,666741.0,-434101.0,7094.0,525517.0,0.0,0.0,0.0,398440.0,931051.0,0.0,0.0,0.0,381.0,381.0,496569.0,0.0,496569.0,2458218.0,0.0,2954787.0,2983452.0,OK
Lake Champlain-Lake George Regional Development Corporation,9/30/2024,51244.3,0.0,2854.8,0.0,54099.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54099.1,0.0,0.0,0.0,19.7,0.0,29985.0,0.0,30004.7,0.0,0.0,0.0,0.0,0.0,0.0,30004.7,0.0,0.0,24094.4,24094.4,0.0,656.6,11872.5,12529.2,0.0,0.0,3800.0,0.0,0.0,1378.2,5178.2,7351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3,0.0,0.0,0.0,533.3,6817.7,0.0,6817.7,17276.8,0.0,24094.4,54099.1,OK
Land Reutilization Corporation of The Capital Region,9/30/2024,2170733.0,0.0,0.0,0.0,2170733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170733.0,72385.0,0.0,0.0,0.0,0.0,0.0,0.0,72385.0,0.0,0.0,0.0,0.0,0.0,0.0,72385.0,0.0,0.0,2098348.0,2098348.0,0.0,0.0,237559.0,237559.0,0.0,0.0,134040.0,0.0,0.0,3488.0,137528.0,100031.0,0.0,467778.0,0.0,75000.0,69601.0,581164.0,1193543.0,0.0,0.0,0.0,1143289.0,1143289.0,150285.0,0.0,150285.0,1948063.0,0.0,2098348.0,2170733.0,OK
Lewis County Development Corporation,9/30/2024,1517681.0,0.0,0.0,0.0,1517681.0,0.0,41385.0,0.0,97342.0,0.0,0.0,0.0,97342.0,138727.0,1656408.0,0.0,0.0,0.0,0.0,902448.0,0.0,0.0,902448.0,0.0,0.0,168032.0,0.0,0.0,168032.0,1070480.0,0.0,585928.0,0.0,585928.0,0.0,17672.0,0.0,17672.0,0.0,0.0,57723.0,477.0,9899.0,1985.0,70084.0,-52412.0,0.0,0.0,0.0,682886.0,0.0,0.0,682886.0,1802.0,0.0,63759.0,90000.0,155561.0,474913.0,0.0,474913.0,111015.0,0.0,585928.0,1656408.0,OK
Livingston County Capital Resource Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
Livingston County Development Corporation,9/30/2024,1193125.0,0.0,342409.0,15202.0,1550736.0,0.0,0.0,966803.0,0.0,0.0,0.0,0.0,0.0,966803.0,2517539.0,41024.0,0.0,0.0,6776.0,499750.0,0.0,0.0,547550.0,0.0,0.0,0.0,0.0,0.0,0.0,547550.0,0.0,470840.0,1499149.0,1969989.0,247271.0,48044.0,0.0,295315.0,85065.0,0.0,162771.0,12333.0,0.0,86931.0,347100.0,-51785.0,0.0,670249.0,0.0,200000.0,46706.0,0.0,916955.0,0.0,0.0,754360.0,0.0,754360.0,110810.0,0.0,110810.0,1859179.0,0.0,1969989.0,2517539.0,OK
Livingston County Land Bank Corporation,9/30/2024,531473.0,0.0,56980.0,137616.0,726069.0,453605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453605.0,1179674.0,35512.0,0.0,0.0,451605.0,0.0,0.0,0.0,487117.0,0.0,0.0,0.0,0.0,451605.0,451605.0,938722.0,0.0,0.0,240952.0,240952.0,0.0,0.0,176803.0,176803.0,0.0,0.0,63570.0,0.0,0.0,32505.0,96075.0,80728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80728.0,0.0,80728.0,160224.0,0.0,240952.0,1179674.0,OK
Livingston Tobacco Asset Securitization Corporation,9/30/2024,32556.0,0.0,809148.0,0.0,841704.0,918619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918619.0,1760323.0,0.0,0.0,0.0,0.0,0.0,0.0,24521.0,24521.0,0.0,0.0,20061384.0,0.0,0.0,20061384.0,20085905.0,0.0,918619.0,-19244201.0,-18325582.0,0.0,0.0,850035.0,850035.0,0.0,0.0,61051.0,0.0,1349437.0,14913.0,1425401.0,-575366.0,53500.0,0.0,0.0,0.0,0.0,0.0,53500.0,0.0,0.0,0.0,0.0,0.0,-521866.0,0.0,-521866.0,-17803716.0,0.0,-18325582.0,1760323.0,OK
Local Development Corporation of the Town of Union,9/30/2024,9574.0,0.0,96741.0,2612.0,108927.0,2444114.0,594425.0,0.0,0.0,5750.0,0.0,0.0,5750.0,3044289.0,3153216.0,6557.0,0.0,5311.0,1765.0,1045140.0,0.0,4088.0,1062861.0,0.0,41136.0,0.0,0.0,0.0,41136.0,1103997.0,0.0,2036412.0,12807.0,2049219.0,4500.0,19964.0,0.0,24464.0,94575.0,19007.0,4600.0,1504.0,0.0,12520.0,132206.0,-107742.0,27258.0,0.0,1287048.0,103486.0,0.0,0.0,1417792.0,0.0,0.0,1258193.0,4661.0,1262854.0,47196.0,0.0,47196.0,2002023.0,0.0,2049219.0,3153216.0,OK
Lumber City Development Corporation,9/30/2024,643848.0,0.0,29249.0,0.0,673097.0,0.0,118894.0,3264.0,0.0,2423.0,0.0,2423.0,0.0,122158.0,795255.0,20420.0,0.0,0.0,0.0,0.0,0.0,0.0,20420.0,0.0,0.0,0.0,0.0,0.0,0.0,20420.0,0.0,0.0,774835.0,774835.0,0.0,10109.0,0.0,10109.0,28566.0,3698.0,63528.0,2182.0,0.0,352335.0,450309.0,-440200.0,7590.0,146129.0,0.0,57500.0,0.0,6525.0,217744.0,73.0,0.0,187594.0,0.0,187667.0,-410123.0,0.0,-410123.0,1184958.0,0.0,774835.0,795255.0,OK
Madison County Capital Resource Corporation,9/30/2024,117623.0,1253320.0,0.0,0.0,1370943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95346.0,1275597.0,1370943.0,250.0,0.0,0.0,250.0,0.0,0.0,9000.0,0.0,0.0,96787.0,105787.0,-105537.0,34657.0,0.0,0.0,0.0,0.0,0.0,34657.0,0.0,0.0,0.0,0.0,0.0,-70880.0,0.0,-70880.0,1441823.0,0.0,1370943.0,1370943.0,OK
Madison Grant Facilitation Corporation,9/30/2024,743.0,319683.0,0.0,0.0,320426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320426.0,0.0,320426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,684.0,319742.0,0.0,320426.0,320426.0,OK
Monroe County Industrial Development Corporation,9/30/2024,2254881.0,1631709.0,329516.0,5630.0,4221736.0,1215521.0,2186856.0,0.0,0.0,0.0,0.0,0.0,0.0,3402377.0,7624113.0,160181.0,0.0,0.0,0.0,1002.0,0.0,0.0,161183.0,0.0,0.0,0.0,0.0,0.0,0.0,161183.0,0.0,169303.0,7293627.0,7462930.0,1188031.0,57256.0,4648.0,1249935.0,377270.0,0.0,85301.0,6201.0,0.0,110485.0,579257.0,670678.0,-3736.0,0.0,837728.0,0.0,0.0,0.0,833992.0,0.0,0.0,0.0,545501.0,545501.0,959169.0,0.0,959169.0,6503761.0,0.0,7462930.0,7624113.0,OK
Monroe Tobacco Asset Securitization Corporation,9/30/2024,149221.0,2600.0,11125385.0,13384533.0,24661739.0,0.0,0.0,12949.0,0.0,0.0,0.0,0.0,0.0,12949.0,24674688.0,0.0,0.0,0.0,707792.0,0.0,305952966.0,0.0,306660758.0,0.0,0.0,0.0,0.0,0.0,0.0,306660758.0,0.0,13384533.0,-295370603.0,-281986070.0,0.0,0.0,0.0,0.0,0.0,0.0,97835.0,0.0,18765541.0,20410.0,18883786.0,-18883786.0,784849.0,11207553.0,0.0,0.0,0.0,0.0,11992402.0,0.0,0.0,0.0,0.0,0.0,-6891384.0,0.0,-6891384.0,-275094686.0,0.0,-281986070.0,24674688.0,OK
Montgomery County Capital Resource Corporation,9/30/2024,258083.0,0.0,0.0,0.0,258083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258083.0,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0,0.0,0.0,255960.0,255960.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,2123.0,0.0,0.0,3873.0,-3873.0,6672.0,0.0,0.0,0.0,0.0,0.0,6672.0,0.0,0.0,0.0,0.0,0.0,2799.0,0.0,2799.0,253161.0,0.0,255960.0,258083.0,OK
"MUNIPRO, Inc.",9/30/2024,201742.0,5136749.0,280763.0,0.0,5619254.0,0.0,6766332.0,0.0,3455691.0,145938.0,0.0,0.0,3601629.0,10367961.0,15987215.0,102975.0,0.0,0.0,0.0,4916.0,0.0,0.0,107891.0,0.0,0.0,0.0,0.0,5102292.0,5102292.0,5210183.0,3601629.0,7175403.0,0.0,10777032.0,463142.0,0.0,0.0,463142.0,0.0,0.0,11200.0,0.0,0.0,34255.0,45455.0,417687.0,216953.0,0.0,0.0,0.0,0.0,0.0,216953.0,0.0,0.0,0.0,500000.0,500000.0,134640.0,0.0,134640.0,10642392.0,0.0,10777032.0,15987215.0,OK
Nassau County Local Economic Assistance Corporation,9/30/2024,1267991.0,0.0,0.0,1345.0,1269336.0,0.0,0.0,0.0,23750.0,0.0,0.0,8444.0,15306.0,15306.0,1284642.0,2550.0,0.0,0.0,0.0,5000.0,0.0,0.0,7550.0,0.0,0.0,0.0,0.0,0.0,0.0,7550.0,15306.0,0.0,1261786.0,1277092.0,286088.0,0.0,54668.0,340756.0,0.0,0.0,91686.0,10509.0,4750.0,51675.0,158620.0,182136.0,48398.0,0.0,0.0,0.0,0.0,0.0,48398.0,0.0,0.0,0.0,0.0,0.0,230534.0,0.0,230534.0,1046558.0,0.0,1277092.0,1284642.0,OK
Nassau County Tobacco Settlement Corporation,9/30/2024,335000.0,0.0,0.0,35000.0,370000.0,15910000.0,0.0,8255000.0,0.0,0.0,0.0,0.0,0.0,24165000.0,24535000.0,4000.0,0.0,0.0,1396000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,499934000.0,0.0,0.0,499934000.0,501334000.0,0.0,0.0,-476799000.0,-476799000.0,0.0,0.0,20292000.0,20292000.0,0.0,0.0,82000.0,0.0,0.0,28000.0,110000.0,20182000.0,1090000.0,0.0,0.0,0.0,0.0,0.0,1090000.0,28178000.0,0.0,0.0,0.0,28178000.0,-6906000.0,0.0,-6906000.0,-469893000.0,0.0,-476799000.0,24535000.0,OK
New Rochelle Corporation for Local Development,9/30/2024,1184375.0,0.0,3000.0,428127.0,1615502.0,426403.0,22587420.0,35951740.0,0.0,0.0,0.0,0.0,0.0,58965563.0,60581065.0,668422.0,0.0,0.0,471235.0,22844309.0,433878.0,80280.0,24498124.0,0.0,0.0,22411569.0,11851812.0,0.0,34263381.0,58761505.0,1136604.0,0.0,682956.0,1819560.0,110996.0,0.0,0.0,110996.0,0.0,0.0,1526075.0,0.0,0.0,191.0,1526266.0,-1415270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177224.0,177224.0,-1592494.0,0.0,-1592494.0,3412054.0,0.0,1819560.0,60581065.0,OK
NFC Development Corporation,9/30/2024,3247729.0,0.0,5962.0,0.0,3253691.0,0.0,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,4033.0,3257724.0,31908.0,0.0,0.0,0.0,0.0,0.0,0.0,31908.0,0.0,0.0,0.0,0.0,2586559.0,2586559.0,2618467.0,0.0,320.0,638937.0,639257.0,942.0,0.0,356936.0,357878.0,0.0,0.0,0.0,0.0,0.0,61465.0,61465.0,296413.0,38685.0,0.0,0.0,0.0,0.0,0.0,38685.0,0.0,0.0,400514.0,0.0,400514.0,-65416.0,0.0,-65416.0,704673.0,0.0,639257.0,3257724.0,OK
Niagara Area Development Corporation,9/30/2024,151407.0,0.0,0.0,0.0,151407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151407.0,151407.0,0.0,0.0,0.0,0.0,0.0,0.0,151407.0,0.0,0.0,0.0,0.0,0.0,0.0,151407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151407.0,OK
Niagara County Development Corporation,9/30/2024,2094129.0,0.0,601111.0,0.0,2695240.0,0.0,554922.0,0.0,0.0,0.0,0.0,0.0,0.0,554922.0,3250162.0,42346.0,0.0,0.0,0.0,0.0,0.0,0.0,42346.0,0.0,0.0,0.0,0.0,0.0,0.0,42346.0,0.0,3207816.0,0.0,3207816.0,0.0,29131.0,0.0,29131.0,0.0,0.0,50902.0,0.0,0.0,12580.0,63482.0,-34351.0,7950.0,0.0,461361.0,0.0,0.0,0.0,469311.0,0.0,0.0,254247.0,72189.0,326436.0,108524.0,0.0,108524.0,3099292.0,0.0,3207816.0,3250162.0,OK
Niagara Orleans Land Improvement Corporation,9/30/2024,1010039.0,0.0,31216.0,0.0,1041255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845090.0,196165.0,1041255.0,0.0,0.0,291846.0,291846.0,63000.0,31099.0,67123.0,0.0,0.0,58733.0,219955.0,71891.0,0.0,0.0,0.0,-51873.0,0.0,0.0,-51873.0,0.0,0.0,0.0,0.0,0.0,20018.0,0.0,20018.0,1021237.0,0.0,1041255.0,1041255.0,OK
Niagara Tobacco Asset Securitization Corporation,9/30/2024,3753013.0,0.0,0.0,3439249.0,7192262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7192262.0,0.0,0.0,0.0,172330.0,3302889.0,0.0,0.0,3475219.0,0.0,0.0,0.0,0.0,55613036.0,55613036.0,59088255.0,0.0,7054464.0,-58950457.0,-51895993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3726505.0,3726505.0,2633938.0,0.0,0.0,104622.0,2738560.0,987945.0,0.0,987945.0,-52883938.0,0.0,-51895993.0,7192262.0,OK
Oneida County Local Development Corporation,9/30/2024,36230.0,363725.0,0.0,6089.0,406044.0,301391.0,0.0,5710.0,0.0,34115.0,0.0,19496.0,14619.0,321720.0,727764.0,1382.0,0.0,0.0,5603.0,0.0,0.0,0.0,6985.0,0.0,0.0,0.0,0.0,301391.0,301391.0,308376.0,0.0,0.0,419388.0,419388.0,0.0,0.0,0.0,0.0,0.0,0.0,55015.0,0.0,5752.0,10784.0,71551.0,-71551.0,14395.0,0.0,0.0,0.0,0.0,0.0,14395.0,36.0,0.0,0.0,101250.0,101286.0,-158442.0,0.0,-158442.0,577830.0,0.0,419388.0,727764.0,OK
Oneida Tobacco Asset Securitization Corporation,9/30/2024,5038961.0,0.0,0.0,337072.0,5376033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5376033.0,8000.0,0.0,0.0,262479.0,0.0,0.0,106350402.0,106620881.0,0.0,0.0,0.0,0.0,0.0,0.0,106620881.0,0.0,0.0,-101244848.0,-101244848.0,4030228.0,0.0,0.0,4030228.0,0.0,0.0,28692.0,0.0,0.0,0.0,28692.0,4001536.0,280708.0,0.0,0.0,0.0,0.0,0.0,280708.0,6819571.0,0.0,0.0,35179.0,6854750.0,-2572506.0,0.0,-2572506.0,-98672342.0,0.0,-101244848.0,5376033.0,OK
Oneonta Rail Yards Local Development Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253315.0,0.0,0.0,0.0,253315.0,253315.0,253315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253315.0,0.0,0.0,253315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253315.0,0.0,253315.0,253315.0,OK
Onondaga Civic Development Corporation,9/30/2024,1418669.0,0.0,50.0,0.0,1418719.0,0.0,0.0,0.0,0.0,6145.0,0.0,0.0,6145.0,6145.0,1424864.0,97655.0,0.0,0.0,0.0,0.0,0.0,0.0,97655.0,0.0,0.0,0.0,0.0,0.0,0.0,97655.0,6145.0,934944.0,386120.0,1327209.0,5500.0,0.0,77839.0,83339.0,0.0,0.0,16757.0,0.0,2915.0,117361.0,137033.0,-53694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53694.0,0.0,-53694.0,1380903.0,0.0,1327209.0,1424864.0,OK
Onondaga Convention Center Hotel Development Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,6533333.0,0.0,0.0,0.0,0.0,0.0,0.0,6533333.0,6533333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6533333.0,6533333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466667.0,466667.0,-466667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-466667.0,0.0,-466667.0,7000000.0,0.0,6533333.0,6533333.0,OK
Onondaga Tobacco Asset Securitization Corporation,9/30/2024,147326.0,6643461.0,0.0,0.0,6790787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6790787.0,379416.0,0.0,0.0,0.0,0.0,462817.0,0.0,842233.0,0.0,0.0,106463543.0,0.0,8609340.0,115072883.0,115915116.0,0.0,6643461.0,-115767790.0,-109124329.0,0.0,0.0,0.0,0.0,0.0,0.0,52942.0,0.0,0.0,78143.0,131085.0,-131085.0,426863.0,0.0,0.0,0.0,0.0,7201070.0,7627933.0,0.0,0.0,0.0,4589103.0,4589103.0,2907745.0,0.0,2907745.0,-112032074.0,0.0,-109124329.0,6790787.0,OK
Ontario County Economic Development Corporation,9/30/2024,2370894.0,0.0,540415.0,0.0,2911309.0,0.0,2016325.0,0.0,0.0,10945.0,0.0,10945.0,0.0,2016325.0,4927634.0,604.0,0.0,0.0,0.0,710451.0,0.0,0.0,711055.0,0.0,0.0,0.0,0.0,0.0,0.0,711055.0,0.0,19782.0,4196797.0,4216579.0,2400.0,127670.0,0.0,130070.0,0.0,0.0,95985.0,352.0,0.0,8450.0,104787.0,25283.0,52159.0,0.0,444836.0,0.0,0.0,76563.0,573558.0,0.0,0.0,499370.0,0.0,499370.0,99471.0,0.0,99471.0,4117108.0,0.0,4216579.0,4927634.0,OK
Ontario County Local Development Corporation,9/30/2024,218037.6,0.0,0.0,0.0,218037.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218037.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218037.6,218037.6,0.0,0.0,0.0,0.0,0.0,0.0,4825.0,161.5,0.0,3169.1,8155.6,-8155.6,3868.2,0.0,0.0,0.0,0.0,0.0,3868.2,0.0,0.0,0.0,0.0,0.0,-4287.4,0.0,-4287.4,222325.0,0.0,218037.6,218037.6,OK
Ontario Tobacco Asset Securitization Corporation,9/30/2024,1749819.0,0.0,1386382.0,0.0,3136201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136201.0,15000.0,0.0,0.0,39636.0,0.0,0.0,0.0,54636.0,0.0,0.0,31004643.0,0.0,0.0,31004643.0,31059279.0,0.0,3136201.0,-31059279.0,-27923078.0,0.0,0.0,1452457.0,1452457.0,0.0,0.0,50756.0,0.0,0.0,15000.0,65756.0,1386701.0,109035.0,0.0,0.0,0.0,0.0,0.0,109035.0,2010729.0,0.0,0.0,0.0,2010729.0,-514993.0,0.0,-514993.0,-27408085.0,0.0,-27923078.0,3136201.0,OK
Operation Oswego County,9/30/2024,1384284.0,0.0,117040.0,0.0,1501324.0,0.0,784973.0,44305.0,1786986.0,2554510.0,0.0,2022639.0,2318857.0,3148135.0,4649459.0,131813.0,0.0,0.0,0.0,31380.0,0.0,0.0,163193.0,0.0,0.0,597715.0,0.0,0.0,597715.0,760908.0,555105.0,0.0,3333446.0,3888551.0,24520.0,187426.0,905856.0,1117802.0,417718.0,182252.0,33615.0,34930.0,57435.0,307671.0,1033621.0,84181.0,0.0,25068.0,0.0,0.0,0.0,0.0,25068.0,0.0,0.0,0.0,0.0,0.0,109249.0,0.0,109249.0,3767238.0,12064.0,3888551.0,4649459.0,OK
