Transaction_date,Current assets: All the assets of a company that are expected to be sold or used as a result of standard business,Cost of goods sold: The total amount a company paid as a cost directly related to the sale of products,Depreciation and amortization: Depreciation refers to the loss of value of a tangible fixed asset over,"EBITDA: Earnings before interest, taxes, depreciation, and amortization. A measure of a company's overall",Inventory: The accounting of items and raw materials that a company either uses in production or sells,Net Income: The overall profitability of a company after all expenses and costs have been deducted from total,Total Receivables: The balance of money due to a firm for goods or services delivered or used but not yet paid for
8/30/2024,2112.126,1597.479,799.063,2767.715,586.76,1495.432,639.717
8/30/2024,12.145,15.255,0.961,-1.543,10.356,-3.387,1.66
8/30/2024,28787,18226,9085,32329,7253,21053,7238
8/30/2024,1524.6,3271.9,124.8,576.4,633.9,305.9,571.6
8/30/2024,4636,15894,802,2419,305,111,3061
8/30/2024,894.637,1616.839,60.8,435.117,358.259,271.939,193.178
8/30/2024,60.903,14.927,2.956,21.729,5.412,18.555,3.956
8/30/2024,5.256,4.913,0.057,-6.156,1.512,-6.965,0.946
8/30/2024,4509.296,6564.986,518.156,1707.491,2287.615,861.704,1606.159
8/30/2024,4449.667,3045.662,106.154,652.691,844.886,294.944,1146.778
8/30/2024,588.693,3170.706,83.91,205.526,0,201.74,499.109
8/30/2024,610.635,282.886,25.295,8.263,0,10.617,357.239
8/30/2024,4.689,10.649,0.322,-1.701,2.242,-2.081,0.829
8/30/2024,60.853,18.043,5.625,-15.687,16.55,-25.245,1.191
8/30/2024,133.169,306.861,18.961,94.893,0,-32.93,62.464
8/30/2024,0.042,0.021,0.039,-0.56,0.017,0.158,0.01
8/30/2024,3463.656,404.482,109.046,655.328,0,433.988,980.188
8/30/2024,29.996,57.265,0.639,-9.554,1.053,-13.737,11.581
8/30/2024,285.775,210.291,33.863,66.686,79.736,-22.935,127.041
8/30/2024,206.963,592.57,21.356,31.584,82.803,4.23,9.879
8/30/2024,185.504,379.843,8.642,39.65,0,17.503,110.256
8/31/2024,1178.8,1658.9,116.6,303.7,689.2,188.5,378.5
8/31/2024,688,588.546,52.824,277.939,0,33.769,167.626
8/31/2024,110.894,211.287,11.576,35.567,54.971,15.925,43.247
8/31/2024,354.956,891.533,64.862,58.298,48.54,-63.146,274.428
8/31/2024,1427.3,1217,234.1,416.4,0,77.1,26.4
8/31/2024,0.368,0.116,0.018,-0.898,0,-1.017,0.125
8/31/2024,48.689,8.824,2.39,-49.275,1.785,-53.689,5.22
8/31/2024,3.925,7.598,0.755,-0.178,0,-7.168,1.371
8/31/2024,68.229,23.479,0.9,2.579,6.874,11.004,17.959
8/31/2024,46.924,86.27,2.682,0.468,27.31,-5.664,16.893
8/31/2024,216.193,196.957,63.067,188.195,0,86.27,100.323
9/1/2024,1234.634,1326.835,180.588,565.461,338.347,237.927,632.669
9/1/2024,208.686,289.929,14.484,66.423,87.387,39.979,67.714
9/1/2024,0.089,0.048,0.002,-4.083,0.083,-8.175,0
9/1/2024,2580,5379,1554,3511,242,978,821
9/1/2024,5015,7156,1007,3388,577,1203,1758
9/1/2024,2.832,2.104,0.065,-1.996,0.15,-2.08,0
9/1/2024,429.2,702.4,60.4,197.1,151.5,94.5,166.8
9/1/2024,396.771,259.739,3.2,63.159,129,45.885,78.727
9/1/2024,3517.589,3977.285,131.796,1094.058,2054.458,553.084,870.878
9/1/2024,854.31,1190.206,29.087,125.008,257.687,84.167,246.912
9/2/2024,49.651,47.813,0,130.442,6.903,61.67,38.174
9/2/2024,214.425,330.989,19.831,68.698,163.012,36.371,12.364
9/2/2024,66.955,40.383,0.1,-40.297,0,-39.911,3.445
9/2/2024,4.584,6.251,0.049,0.254,1.823,0.584,1.387
9/2/2024,162.481,91.197,2.117,-83.578,0,-88.288,0.201
9/2/2024,0.006,0.077,0.003,-2.09,0,-3.409,0
9/2/2024,12.389,15.83,11.042,11.761,6.205,-1.322,5.582
9/2/2024,1231.517,1167.294,29.256,159.124,884.212,32.654,285.792
9/3/2024,306.721,222.019,45.652,78.104,0,54.687,41.028
9/3/2024,4053.2,8936.3,1302.9,9888.7,51.1,5924.3,2441.5
9/3/2024,1244.889,1563.115,213.683,148.108,194.507,-212.327,625.086
9/3/2024,27.918,3.51,0.902,0.594,5.195,0.415,1.067
9/3/2024,1114.797,1603.544,116.131,394.179,549.596,180.378,438.217
9/3/2024,26.898,68.193,10.223,0.611,12.327,-13.18,11.751
9/3/2024,12.052,51.457,7.241,22.3,0.549,4.324,3.625
9/3/2024,427.913,391.794,49.056,90.846,63.867,-46.792,212.423
9/3/2024,17.733,27.165,2.306,11.855,2.579,6.236,2.608
9/3/2024,5.669,5.266,0.041,-5.763,2.055,-8.374,0.357
9/3/2024,150.953,12.072,0.851,-19.649,11.982,-22.397,15.321
9/4/2024,290.509,420.207,18.207,48.04,120.068,20.709,107.738
9/4/2024,668.147,815.856,46.6,82.1,84.199,12.31,392.458
9/4/2024,17.395,103.034,2.242,11.024,0,1.836,10.28
9/4/2024,662.1,3175.8,199.7,892.2,0,292.3,467.7
9/4/2024,14.967,6.014,1.5,-23.765,3.371,-26.992,3.66
9/4/2024,58.03,25.01,1.06,-23.639,0,-76.333,0.606
9/4/2024,42.076,64.95,0.975,-64.047,0,-65.336,0
9/4/2024,1242.044,5262.207,1033.697,2971.512,153.573,1811.042,324.507
9/4/2024,45.398,77.749,2.648,-2.144,18.584,-3.505,10.72
9/4/2024,236.093,146.502,9.117,35.329,0,15.38,67.318
9/4/2024,8306.308,15531.461,1887.786,1634.946,3113.446,-976.091,949.022
9/4/2024,46.085,20.944,25.367,16.021,0,-4.143,20.546
9/5/2024,22.516,8.47,0.029,-8.22,0,-12.714,0.149
9/5/2024,951.092,159.1,113.733,540.889,28.162,345.777,297.082
9/5/2024,269.281,855.408,33.204,106.273,93.81,24.842,131.51
9/5/2024,8.94,12.474,1.822,-2.171,2.67,-6.161,4.846
9/5/2024,370.9,540.2,44.8,32.9,139.5,-163,39.6
9/5/2024,58.552,38.204,41.832,45.849,5.21,-20.596,25.073
9/5/2024,450.928,507.612,110.522,161.919,0,28.598,125.704
9/5/2024,22.538,21.445,2.638,1.65,0,-1.991,7.389
9/5/2024,136.987,116.598,0.594,-72.089,0.894,-70.48,4.077
9/6/2024,403.497,207.456,20.016,37.641,32.033,18.398,78.079
9/6/2024,9680,22284,800,4800,654,3229,6474
9/6/2024,210.202,257.639,166.747,259.993,5.265,46.595,59.689
9/6/2024,13.212,138.67,5.074,10.106,2.094,4.655,3.838
9/6/2024,115.363,290.116,9.116,-24.211,94.842,-97.382,5.383
9/6/2024,21.75,24.266,0.608,-2.084,1.615,-2.092,8.033
9/6/2024,80.069,52.417,0.805,-50.451,3.57,-49.69,0.903
9/6/2024,1065.717,904.455,119.96,680.634,268.701,315.588,483.681
9/6/2024,116.05,61.513,5.617,-11.93,20.85,-17.453,19.275
9/6/2024,61.997,28.333,0,-28.127,0,-147.958,0.108
9/6/2024,1006.346,393.359,85.014,214.12,24.952,65.991,439.052
9/6/2024,207.8,1277.9,24.4,107.6,0,53.2,150.7
9/6/2024,300.938,415.299,31.779,331.901,119.88,-35.8,148.787
9/6/2024,1465,3415,68,199,797,74,587
9/6/2024,1.941,3.12,0.106,-2.303,0.531,-6.296,0.612
9/6/2024,16.022,9.382,1.328,-0.6,3.527,-0.263,5.432
9/7/2024,1303.877,1263.231,105.3,301.001,457.226,69.458,450.773
9/7/2024,35503,47520,2216,9760,10083,5269,17757
9/7/2024,152.877,67.335,33.742,77.497,40.503,15.494,64.842
9/7/2024,872.948,282.386,26.095,-82.949,0,-121.949,97.712
9/7/2024,6581,11397,576,1966,2492,642,1498
9/7/2024,211.644,748.513,75.859,136.942,4.067,42.503,168.877
9/7/2024,32.148,12.193,6.102,22.314,0,19.618,3.942
9/7/2024,82.492,57.936,0.593,-31.646,0,-29.32,13.679
9/7/2024,3326.104,9488.94,246.513,843.468,107.732,293.346,2931.928
9/7/2024,48.209,22.78,4.631,0.159,0,18.215,8.691
9/7/2024,294.803,3.495,3.195,-201.891,0.864,-123.156,0
9/7/2024,721.2,1062.8,136.9,272.3,266.6,68.8,393.1
9/7/2024,50.652,37.784,1.239,-2.105,0.427,-7.4,44.791
9/8/2024,522.369,403.33,19.538,-351.835,7.065,-197.611,23.84
9/8/2024,116.926,4.463,12.767,-66.188,15.551,-105.386,3.348
9/8/2024,4.347,3.45,0.936,1.176,0.464,1.569,0.533
9/8/2024,627.593,1656.743,263.216,691.807,56.716,244.418,426.305
9/8/2024,1290.134,3567.375,191.737,573.124,634.806,223.994,511.332
9/8/2024,15.63,49.794,2.877,3.44,0.82,-1.144,12.751
9/8/2024,14.326,5.59,0.448,10.818,0.837,9.552,2.791
9/8/2024,195.561,429.369,24.45,123.545,44.666,53.933,87.474
9/8/2024,475.634,1326.039,39.913,86.693,160.281,31.087,298.999
9/8/2024,1120.769,1273.128,47.408,404.589,544.75,238.257,326.133
9/8/2024,180.611,129.322,79.027,65.966,41.738,-26.199,59.491
9/8/2024,5.861,6.932,0.998,-3.578,1.818,-2.981,0.282
9/8/2024,127.072,72.444,1.145,-59.97,0,-53.595,0.798
9/9/2024,6393,8490,3911,8237,1223,6638,2969
9/9/2024,193.397,156.422,46.5,161.39,67.379,74.183,76.887
9/9/2024,34.365,13.195,1.59,-8.737,13.228,-16.687,6.782
9/9/2024,438.272,3965.427,62.103,97.439,301.938,-112.155,58.671
9/9/2024,407.427,206.744,6.201,36.003,53.785,-6.931,174.697
9/9/2024,296.871,588.205,71.128,88.869,122.615,-264.467,134.367
9/9/2024,144.129,63.081,1.497,-47.459,0,-67.657,3.803
9/9/2024,18.963,18.9,3.47,-27.401,2.28,-39.753,1.247
9/10/2024,371.898,1071.972,37.1,106.525,165.835,45.694,160.371
9/10/2024,478.853,2031.329,361.083,1084.217,173.838,603.064,253.295
9/10/2024,635.222,1065.002,86.787,780.849,0,405.665,446.371
9/10/2024,9195,11018,3036,5741,554,-6837,6269
9/10/2024,62.96,101.051,4.575,7.718,13.942,-0.529,32.508
9/10/2024,2188.7,6732.4,179.5,612.1,803.3,172.3,1094.7
9/10/2024,725,1424,55,433,176,166,409
9/10/2024,221.521,34.711,22.323,-7.063,0,-27.804,74.902
9/10/2024,40.717,35.624,0.847,1.274,0.957,-0.028,18.517
9/10/2024,2201.3,5902,229.2,593.6,1419.9,186,635.8
9/10/2024,1437.687,496.591,8.8,696.732,11.381,681.313,43.213
9/10/2024,373.525,1313.251,158.5,418.746,0,159.207,270.597
9/10/2024,35.748,1.088,1.078,-7.882,0.031,-7.433,0.12
9/10/2024,5566,6974,1146,5047,35,2413,726
9/10/2024,44.145,24.628,10.875,-29.374,0.587,-21.558,11.601
9/10/2024,1222.507,261.096,35.611,33.481,0,-19.665,124.849
9/11/2024,5355,27662,1509,4708,1297,2314,2529
9/11/2024,884.102,906.812,108.407,613,264.477,377.375,491.423
9/11/2024,3238.6,4019.6,326.7,1242.9,1732.4,746.4,803.8
9/11/2024,125.807,325.471,163.696,89.161,9.311,-113.134,26.396
9/11/2024,3891.978,902.568,58.23,1028.498,315.358,889.75,335.165
9/11/2024,1206.5,2541,160.4,445.4,5.8,-33.3,637.9
9/11/2024,9.227,2.334,0.644,1.859,0.015,-0.907,4.242
9/11/2024,852.981,236.187,35.312,4.978,191.194,-95.695,202.165
9/11/2024,226.213,177.476,149.854,343.083,0,248.827,116.514
9/12/2024,77.025,132.937,29.959,4.932,0,-24.407,25.402
9/12/2024,11.468,3.127,0.321,0.176,1.618,-0.01,0.896
9/12/2024,1024.25,160.901,66.108,146.503,0,63.868,35.032
9/12/2024,18.15,20.067,0.78,3.978,7.817,2.227,3.555
9/12/2024,2216.9,1776.6,94.1,1045.9,673.8,679.9,1309.4
9/12/2024,1533,3979,955,2312,483,815,837
9/12/2024,284.423,158.131,31.367,68.842,67.096,-26.322,60.89
9/12/2024,2714.802,749.43,26.71,712.802,264.557,328.115,338.118
9/12/2024,261.965,794.063,180.255,496.475,14.91,157.541,51.356
9/12/2024,1151.477,3333.872,116.264,396.814,513.238,144.36,481.332
9/12/2024,533.297,332.566,69.94,211.283,153.535,-189.399,256.735
9/12/2024,3594.8,2419.8,267.2,992.1,817.8,430.9,607.1
9/12/2024,1761,3254,1671,3755,109,1096,1545
9/12/2024,373.854,468.795,672.113,1254.374,0,47.451,145.998
9/12/2024,350.907,120.657,6.382,58.476,96.82,45.096,70.305
9/12/2024,135.085,53.505,17.001,4.249,0,-25.032,46.023
9/12/2024,3386.9,1245.5,191.9,2117.1,0,1309.6,1287.1
9/12/2024,42.244,172.342,17.665,1.957,21.13,-37.672,13.318
9/12/2024,1429.282,1349.548,122.484,828.32,404.842,483.801,35.786
9/12/2024,2.169,5.792,0.541,-1.14,0,-2.934,1.688
9/13/2024,8003.453,46912.433,729.5,3200.13,3125.413,1430.766,4137.835
9/13/2024,3.414,2.828,0.559,-0.071,0.206,-0.839,0.832
9/13/2024,8.626,6.809,0.67,-9.498,4.493,-39.716,1.509
9/13/2024,780.326,184.503,21.549,242.691,83.282,219.267,127.484
9/13/2024,26.074,31.253,2.854,0.632,0.444,-2.138,9.94
9/13/2024,125.623,62.674,57.751,40.032,14.13,-71.171,70.16
9/13/2024,190.018,106.197,4.861,7.671,20.218,3.083,28.326
9/13/2024,28.452,20.558,0.868,-6.776,7.851,-7.866,7.374
9/13/2024,558.155,154.37,10.615,37.456,33.763,29.205,144.539
9/14/2024,7034,5533,1293,3133,2037,1066,1940
9/14/2024,428.202,436.389,34.492,102.394,139.109,61.328,197.872
9/14/2024,9.22,24.133,10.343,22.693,2.581,7.764,4.283
9/14/2024,4.496,0.597,0.247,-0.268,0,-0.484,4.135
9/14/2024,37.564,5.879,0.338,4,3.509,3.266,3.045
9/14/2024,6.14,2.627,0.551,-4.023,0,-5.02,0.172
9/14/2024,17.434,127.452,43.489,-74.359,0,-121.568,11.531
9/14/2024,355.901,1209.874,134.985,176.863,16.22,-162.517,270.812
9/14/2024,1335.95,1252.163,178.03,302.076,437.879,74.541,73.112
9/14/2024,150.857,541.648,61.966,154.394,84.882,69.539,45.348
9/14/2024,8.077,0.413,0.037,-6.614,0,-9.604,0.287
9/14/2024,0.026,0.21,0,-1.035,0,-3.122,0
9/14/2024,9.607,9.042,1.298,-4.652,0,-5.718,7.072
9/14/2024,34.734,5.836,4.172,-0.176,0,-3.411,3.349
9/15/2024,1787,6193,398,1173,60,437,366
9/15/2024,4663.02,17367.039,454.134,2604.24,4097.004,1589.472,57.804
9/15/2024,166.644,76.47,3.476,2.868,17.102,-41.017,28.232
9/15/2024,4101.719,16605.323,357.882,394.39,1871.941,-422.213,1788.712
9/15/2024,5028,14706,1201,4407,461,2465,568
9/15/2024,468.644,624.058,54.42,122.649,135.133,33.412,216.17
9/15/2024,494.925,63.702,22.805,18.174,0,-14.888,16.518
9/15/2024,13.086,14.148,0.218,-14.028,0,-14.083,0
9/15/2024,1171.1,933,45.1,370.6,323.1,93.5,261.1
9/15/2024,121.214,62.344,4.534,-28.337,44.725,-35.231,18.462
9/15/2024,116.032,876.976,2.318,10.15,78.869,3.615,31.701
9/15/2024,527.75,13.615,40.086,-44.594,6.772,-157.957,227.476
9/15/2024,111.854,164.3,3.11,58.705,91.237,25.289,2.617
9/15/2024,957.097,542.926,100.494,-49.044,311.888,-214.295,317.115
9/15/2024,1.376,1.818,0.023,0.087,0,-1.983,0.331
9/16/2024,3.015,1.282,2.07,-4.934,0,-12.814,0
9/16/2024,159.269,154.033,6.464,26.559,84.001,9.528,45.422
9/16/2024,1061.594,1617.168,95.8,569.921,521.81,317.152,412.708
9/16/2024,263,989,287.5,387.7,9.3,9.4,211.4
9/16/2024,2111.905,1986.307,60.961,29.055,28.627,-38.453,433.441
9/16/2024,1998.421,1955.194,198,937.727,700.54,693.562,697.887
9/16/2024,53.545,36.944,0.388,-36.239,0,-36.487,0.237
9/16/2024,228.711,152.181,42.07,53.229,0,9.328,74.305
9/16/2024,4.476,5.92,0.018,-4.782,0,-3.612,0.252
9/16/2024,38.574,29.382,0.983,-26.291,0.49,-26.635,0.558
9/16/2024,37.124,212.622,3.124,4.865,0,-6.501,32.746
9/17/2024,1238.502,969.191,113.381,507.899,486.741,247.358,372.138
9/17/2024,232.502,445.46,100.519,165.343,0,72.677,49.125
9/17/2024,2084.3,7155.7,53.5,122.2,688.2,-15.7,1262.6
9/17/2024,12.805,51.203,2.564,7.939,0.297,5.718,1.723
9/17/2024,4490,854,179,1070,386,826,514
9/17/2024,157.221,37.004,5.977,-2.751,0,-7.716,54.27
9/17/2024,2122.398,5769.188,229.6,674.333,1824.696,319.864,44.105
9/17/2024,12.973,11.512,3.977,2.316,0.277,-5.428,5.979
9/17/2024,38.048,38.175,2.72,-0.705,29.051,-10.992,6.522
9/17/2024,33.066,3.507,0.355,-2.377,2.313,0.963,0.733
9/17/2024,39.909,28.087,1.148,-25.126,0,-53.171,0.353
9/18/2024,1880.2,3683.2,149.6,642.4,943.7,265.3,550.7
9/18/2024,5041,11466,882,4033,1813,1410,2164
9/18/2024,1515.524,3124.005,124.271,792.121,1108.715,319.545,62.263
9/18/2024,7.675,7.077,3.76,4.778,1.004,-0.058,2.273
9/18/2024,239.907,679.471,55.531,185.074,171.038,79.752,34.372
9/18/2024,1050.38,2541.849,37.841,235.613,0,136.883,848.192
9/18/2024,101.734,64.742,1.604,-62.692,0,-62.279,0
9/18/2024,104.863,43.287,0.997,-30.002,0,-30.287,4.34
9/18/2024,338.442,291.082,9.338,322.496,0,288.862,122.757
9/19/2024,3820,10862,5120,8809,120,-1733,2614
9/19/2024,42.335,42.253,2.215,-3.98,16.176,-6.792,13.401
9/19/2024,24.782,7.91,0.614,6.756,0,6.244,4.312
9/19/2024,262.198,634.896,70.9,279.822,60.805,122.88,30.564
9/19/2024,190.898,1173.013,24.999,58.452,39.413,25.08,35.976
9/19/2024,643,1273,382,718,84,212,289
9/19/2024,0.274,1.39,0.003,-1.32,0,-1.994,0
9/19/2024,2855.8,3840.5,183.6,438.5,2386.9,-657.4,102
9/19/2024,380.389,115.779,2.518,90.846,0,71.956,67.205
9/19/2024,1964,4182,460,413,0,-416,1021
9/19/2024,3.799,11.285,0.92,-10.918,0,-9.813,1.094
9/19/2024,208.107,7.624,106.426,149.056,3.396,36.908,38.011
9/19/2024,27.569,164.381,8.231,10.226,1.975,0.03,11.92
9/19/2024,732,976.2,73.7,215.3,233.1,24.6,336.1
9/19/2024,580.81,247.403,12.311,125.799,136.384,105.268,61.375
9/19/2024,1155.083,1988.152,108.829,569.033,944.338,258.047,90.49
9/19/2024,69.007,118.5,4.182,6.485,36.066,-4.251,31.223
9/19/2024,135.217,323.165,16.157,39.304,33.059,14.728,51.744
9/19/2024,201.534,598.152,59.211,99.578,0,-5.382,44.406
9/19/2024,380.906,580.588,77.626,107.515,0,5.755,73.632
9/19/2024,86.472,149.171,16.495,3.068,0,-24.885,54.284
9/20/2024,1712,2449,299,627,663,114,681
9/20/2024,850.93,1041.41,102.187,610.313,225.282,437.883,213.538
9/20/2024,201.85,341.385,29.806,71.527,105.84,30.307,1.833
9/20/2024,38.852,85.865,11.611,-42.785,0,-83.6,24.859
9/20/2024,468.275,0.648,2.416,-103.174,114.245,-143.588,16.666
9/20/2024,2265,4181,1145,2117,41,303,463
9/20/2024,17.918,7.462,2.366,-4.31,0.191,-3.617,7.09
9/20/2024,343.765,410,34.286,587.9,0,477.939,99.052
9/20/2024,160.841,325.235,15.875,93.836,47.755,58.593,16.847
9/20/2024,6.568,13.343,0.279,-1.486,1.589,0.174,1.92
9/20/2024,14.056,0.083,0.006,-3.03,0,-4.421,0
9/20/2024,4.694,5.594,0.472,0.965,0.171,0.312,1.118
9/21/2024,7610.599,16274.836,234.872,791.953,3141.822,-156.424,3641.139
9/21/2024,541.118,1015.686,28.445,160.919,196.899,68.574,160.288
9/21/2024,21893,26979,2399,12856,3128,12515,7142
9/21/2024,176.567,18.811,6.264,-6.738,13.282,-12.951,18.673
9/21/2024,425.309,344.014,57.596,140.834,0,54.989,225.589
9/21/2024,98.936,85.758,1.534,-84.362,0.925,-54.252,1.69
9/21/2024,10.059,4.443,0.161,1.58,4.597,1.378,0.901
9/21/2024,20.542,46.603,0.46,-2.291,0,-5.671,13.548
9/21/2024,35.481,67.026,3.005,-9.426,13.042,-17.325,16.478
9/21/2024,9.445,17.005,1.094,1.685,3.81,0.236,0.016
9/21/2024,857.899,705.468,18.8,60.656,243.871,-9.162,303.667
9/21/2024,346.143,66.896,13.055,-36.065,0,-64.246,41.822
9/21/2024,9.067,29.101,0.22,-2.319,0,-1.292,8.423
9/22/2024,857.3,1057.7,100.8,504.7,281.1,167.6,288.5
9/22/2024,546.224,755.16,24.104,105.555,349.811,43.003,157.535
9/22/2024,12891,13395,9391,12773,999,-1943,4244
9/22/2024,526.87,341.324,55.115,237.529,141.635,28.69,252.651
9/22/2024,150.183,153.911,20.6,47.006,6.769,11.352,0
9/22/2024,1610.7,1545.7,366,1762.4,190.8,944.4,891.9
9/22/2024,590.735,1505.218,42.325,192.853,254.531,63.106,234.309
9/22/2024,140.205,65.055,0.71,9.345,9.712,2.212,122.392
9/22/2024,4293.3,15254.7,621.1,2408.6,3536,-1590.8,100.9
9/22/2024,27.037,26.846,0.998,7.757,12.835,5.426,8.025
9/22/2024,1089.4,2706.5,66,569.2,509.8,359,475.2
9/22/2024,1435.089,287.335,77.635,772.433,0,507.885,473.433
9/22/2024,644.5,882.7,296.1,1135.2,0,598.7,390.4
9/23/2024,191.537,571.087,40.802,146.402,23.521,56.58,112.903
9/23/2024,38.511,64.054,18.692,53.689,1.679,16.695,24.18
9/23/2024,3604,1701,206,3162,0,1958,1449
9/23/2024,17.379,16.406,0.105,1.761,10.127,2.225,2.401
9/23/2024,416.348,395.281,4.434,46.162,0,52.036,94.531
9/23/2024,1311.674,7131.173,93.223,725.327,537.909,430.151,487.235
9/23/2024,2518,5411,178,909,1269,541,107
9/23/2024,272.535,148.753,1.052,-127.053,0,-123.63,20.067
9/23/2024,8.478,12.459,0.038,-10.806,0,-10.811,0.018
9/23/2024,119.308,21.511,1.486,-41.702,6.627,-48.131,12.324
9/23/2024,6.234,36.587,3.285,10.429,0.021,6.889,0.676
9/23/2024,2003,2821,659,1736,0,-712,1118
9/23/2024,8.747,7.212,3.259,-0.71,5.055,-10.75,1.087
9/23/2024,925.021,438.912,625.171,1672.79,37.57,845.672,429.919
9/23/2022,327.058,600.993,42.737,117.366,180.203,36.071,114.508
9/23/2024,443.947,1439.185,101.953,178.754,266.244,-143.767,151.82
9/23/2024,998.629,1265.078,115.828,204.986,33.739,-11.079,76.21
9/24/2024,37.628,8.071,4.638,2.684,0,-11.807,16.821
9/24/2024,31.403,7.82,0.853,-33.108,2.508,-34.989,4.599
9/24/2024,35836,3424,1429,10494,814,5455,3327
9/24/2024,79.214,337.89,9.755,70.069,0,34.873,53.693
9/24/2024,35.019,176.555,12.917,37.013,14.185,25.074,10.729
9/24/2024,560.103,1041.509,12.6,95.895,50.493,63.192,404.994
9/24/2024,202.744,105.318,23.674,54.252,63.25,18.508,53.396
9/24/2024,64.882,137.246,1.009,11.333,30.531,6.949,26.277
9/25/2024,385.167,1826.356,55.052,233.467,272.898,119.832,82.499
9/25/2024,169662,28453,9900,44958,2662,16571,26481
9/25/2024,168.139,90.481,0.37,-77.012,0,-74.013,1.59
9/25/2024,6.218,0.429,0.088,-14.014,0.141,-13.987,0.274
9/25/2024,1.235,1.64,0.033,-1.629,0.076,-1.604,0
9/25/2024,3796.8,13268,265.6,1252.9,454.3,643,2987.6
9/25/2024,16.232,35.309,1.385,-0.235,0,-2.059,8.856
9/25/2024,965.353,1296.538,39.698,265.703,0,150.611,602.783
9/25/2024,256.196,466.167,174.946,327.811,76.333,21.063,163.247
9/25/2024,10.825,7.917,1.739,-2.491,1.027,-12.166,7.668
9/25/2024,586.096,1239.648,53.639,310.59,401.355,172.435,153.105
9/25/2024,97.904,263.527,2.062,16.782,9.893,22.785,35.92
9/26/2024,2239.181,3937.791,260.436,2035.827,784.879,1177.562,594.145
9/26/2024,2423,4099.3,55.3,408.8,1212,113.7,745.4
9/26/2024,101.358,96.558,17.603,37.605,12.846,19.685,19.602
9/26/2024,4344.487,9837.762,596.281,3147.351,1815.275,1108.746,2018.768
9/26/2024,3.51,5.44,0.401,-20.85,2.551,-24.105,0.259
9/26/2024,120.058,51.842,10.695,-24.246,42.742,-33.524,20.335
9/26/2024,32.66,25.705,1.561,-3.369,4.649,-5.812,10.283
9/26/2024,275.258,1224.11,54.425,148.719,6.751,52.178,242.269
9/26/2024,68.392,161.56,13.174,36.92,0,-17.932,48.652
9/26/2024,274.486,61.554,7.662,1.667,4.35,-9.674,44.275
9/27/2024,34636,55205,17380,47171,1336,15528,25859
9/27/2024,813.42,1633.899,70.413,363.087,396.341,234.734,314.86
9/27/2024,414.197,930.354,26.429,55.728,5.735,5.279,304.683
9/27/2024,998.8,2678.9,88.5,405.4,344.7,159.8,413.4
9/27/2024,33.011,42.898,1.264,0.625,20.008,-3.586,10.831
9/27/2024,239.296,1160.511,169.169,296.651,60.602,43.733,55.621
9/27/2024,727.577,863.081,151.127,297.678,18.015,50.396,87.023
9/27/2024,309.466,386.069,35.525,312.044,0,229.011,51.488
9/27/2024,186.779,2.737,0.294,-129.926,3.267,-132.617,11.064
9/27/2024,511.28,75.046,82.719,14.814,33.052,-95.751,61.271
9/27/2024,131.659,46.315,7.215,-93.772,17.878,-102.562,8.595
9/28/2024,4673.457,6443.132,301.005,2317.107,1943.03,1259.792,1713.295
9/28/2024,4.692,0.138,0.028,-1.556,0.07,-2.025,0.051
9/28/2024,76.671,49.058,0.293,-45.17,0,-44.348,0.3
9/28/2024,440.5,1001,55,290.2,190.6,78.2,128.1
9/28/2024,801.222,192.688,135.764,129.196,26.27,-73.324,235.318
9/28/2024,2665.368,1281.131,86.594,864.937,561.84,694.08,569.833
9/28/2024,174.673,45.756,8.754,-19.198,22.484,-21.137,25.195
9/28/2024,4.373,9.118,0.942,1.993,0,0.801,2.206
9/29/2024,79.869,25.891,6.094,-0.825,0,-7.601,24.236
9/29/2024,32.981,381.739,25.794,60.839,2.932,18.959,3.167
9/29/2024,177.64,0.626,2.561,-77.808,7.746,-88.326,1.86
9/29/2024,1255.936,5068.909,123.542,-351.401,46.164,-504.08,100.112
9/28/2024,39.543,8.534,2.163,-2.907,0,-5.607,6.238
9/29/2024,1202.756,2487.62,116.291,497.604,370.507,298.003,80.461
9/29/2024,564.056,366.197,36.686,85.117,96.986,116.575,125.192
9/29/2024,63.984,31.292,0.047,-11.135,0,-10.397,0
9/29/2024,1.514,1.186,0.094,-4.383,0.765,-9.699,0.475
9/29/2024,4.603,8.89,0.453,-5.614,0,-5.172,0.789
9/29/2024,1500,2042,218,2176,75,612,452
9/29/2024,66.995,51.385,0.589,5.23,44.233,5.664,16.494
9/29/2024,294.454,179.364,87.992,-32.954,0,-218.155,102.798
9/30/2024,131339,152853,10903,81565,3956,59531,48995
9/30/2024,4251,9683,575,1937,2131,1003,359
9/30/2024,39.42,289.408,23.142,16.834,3.482,-8.878,4.737
9/30/2024,8.247,15.549,18.395,22.143,0,14.636,7.135
9/30/2024,664.001,757.518,40.496,212.831,361.207,99.872,186.114
9/30/2024,1193.8,899.9,174.6,216.8,523.2,-294.2,431.3
9/30/2024,7604,14762,811,5277,2592,3381,3006
9/30/2024,1.387,0.742,0.009,-1.465,0,-2.34,0.227
9/30/2024,99.079,80.941,3.801,-71.403,0,-151.184,3.162
9/30/2024,2.698,2.176,0.33,-7.801,0.308,-8.475,0.018
10/1/2024,3374,9483,672,1581,1978,564,148
10/1/2024,80.302,233.114,9.23,10.68,25.765,-4.782,51.172
10/1/2024,11.711,4.31,1.556,2.359,0,0.253,1.363
